紹介ID	紹介日	紹介時間	AL店舗番号	AL店舗名	担当者	統括エリア	都道府県	東西	最新ステータス	契約時間	契約サービス	光サービス	ISP申込	ひかり電話	ウィルスクリア	リモートサポート	無線ルータ	契約日	コミュファ光	ひかりTVパー	無料PC申込
1843607563	01-Oct-13	C(14-16)	e6024	株式会社エイブル 　越谷店	エイブル	埼玉	埼玉県	東	契約	D(16-18)	フレッツ光移転（その他）	未入力	未入力	未入力	未入力	未入力		2013/10/1	アサト	未入力	
1843607564	01-Oct-13	C(14-16)	e6012	株式会社エイブル 　東川口店	エイブル	埼玉	埼玉県	東	契約	D(16-18)	フレッツ光	81（Bﾌﾚ）	OCN（2年割）	未入力	HS（Bﾌﾚ）	HY（Bﾌﾚ）		2013/10/1	アサト	案内了承	特典なし
1843607565	01-Oct-13	C(14-16)	e2028	株式会社エイブル 　池袋東口店	エイブル	東京北	東京都	東	NG			未入力	未入力	未入力	未入力	未入力				未入力	
1843607300	30-Sep-13	A(10-12)	e6018	株式会社エイブル 　武蔵浦和店	エイブル	埼玉	埼玉県	東	未折衝			未入力	未入力	未入力	未入力	未入力				未入力	
1843607301	30-Sep-13	A(10-12)	e3030	株式会社エイブル 　柏東口店	エイブル	千葉	千葉県	東	NG			未入力	未入力	未入力	未入力	未入力				未入力	
1843607302	30-Sep-13	A(10-12)	e7001	株式会社エイブル 　仙台駅前店	エイブル	仙台	宮城県	東	アポ			未入力	未入力	未入力	未入力	未入力				未入力	
1843607303	30-Sep-13	A(10-12)	e7001	株式会社エイブル 　仙台駅前店	エイブル	仙台	宮城県	東	未折衝			未入力	未入力	未入力	未入力	未入力				未入力	
1843607304	30-Sep-13	A(10-12)	e1064	株式会社エイブル 　祐天寺店	エイブル	東京南	東京都	東	未折衝			未入力	未入力	未入力	未入力	未入力				未入力	
1843607305	30-Sep-13	A(10-12)	e6029	株式会社エイブル 　志木南口店	エイブル	埼玉	埼玉県	東	未折衝			未入力	未入力	未入力	未入力	未入力				未入力	
1843607306	30-Sep-13	A(10-12)	e6029	株式会社エイブル 　志木南口店	エイブル	埼玉	埼玉県	東	未折衝			未入力	未入力	未入力	未入力	未入力				未入力	
1843607307	30-Sep-13	A(10-12)	e6029	株式会社エイブル 　志木南口店	エイブル	埼玉	埼玉県	東	未折衝			未入力	未入力	未入力	未入力	未入力				未入力	
1843607308	30-Sep-13	A(10-12)	e6029	株式会社エイブル 　志木南口店	エイブル	埼玉	埼玉県	東	NG			未入力	未入力	未入力	未入力	未入力				未入力	
1843607309	30-Sep-13	A(10-12)	e2029	株式会社エイブル 　池袋西口店	エイブル	東京北	東京都	東	新規			未入力	未入力	未入力	未入力	未入力				未入力	
1843607310	30-Sep-13	A(10-12)	e3031	株式会社エイブル 　柏西口店	エイブル	千葉	千葉県	東	未折衝			未入力	未入力	未入力	未入力	未入力				未入力	
1843607311	30-Sep-13	A(10-12)	e3031	株式会社エイブル 　柏西口店	エイブル	千葉	千葉県	東	アポ			未入力	未入力	未入力	未入力	未入力				未入力	
1843607312	30-Sep-13	A(10-12)	g1022	株式会社エイブル 　八事店	エイブル西	東海北	愛知県	西	新規			未入力	未入力	未入力	未入力	未入力				未入力	
1843607314	30-Sep-13	B(12-14)	w449	ハウス・トゥ・ハウス・ネットサービス株式会社　池袋店	ハウス・トゥ		東京都	東	アポ			未入力	未入力	未入力	未入力	未入力				未入力	
1843607315	30-Sep-13	B(12-14)	f035	プライム三鷹店	既存店	アエラスグループ	東京都	東	未折衝			未入力	未入力	未入力	未入力	未入力				未入力	
1843607317	30-Sep-13	B(12-14)	f014	ソレイユ渋谷店	既存店	アエラスグループ	東京都	東	新規			未入力	未入力	未入力	未入力	未入力				未入力	
1843607318	30-Sep-13	B(12-14)	f014	ソレイユ渋谷店	既存店	アエラスグループ	東京都	東	アポ			未入力	未入力	未入力	未入力	未入力				未入力	
1843607319	30-Sep-13	B(12-14)	f014	ソレイユ渋谷店	既存店	アエラスグループ	神奈川県	東	未折衝			未入力	未入力	未入力	未入力	未入力				未入力	
1843607324	30-Sep-13	B(12-14)	f018	プライム池袋店	既存店	アエラスグループ	東京都	東	NG			未入力	未入力	未入力	未入力	未入力				未入力	
1843607325	30-Sep-13	B(12-14)	f013	ソレイユ新宿店	既存店	アエラスグループ	東京都	東	NG			未入力	未入力	未入力	未入力	未入力				未入力	
1843607326	30-Sep-13	B(12-14)	f016	プライム錦糸町店	既存店	アエラスグループ	東京都	東	新規			未入力	未入力	未入力	未入力	未入力				未入力	
1843607328	30-Sep-13	B(12-14)	w228	株式会社ハウスパートナー亀有店	ハウパ		東京都	東	未折衝			未入力	未入力	未入力	未入力	未入力				未入力	
1843607329	30-Sep-13	B(12-14)	w228	株式会社ハウスパートナー亀有店	ハウパ		東京都	東	未折衝			未入力	未入力	未入力	未入力	未入力				未入力	
1843607330	30-Sep-13	B(12-14)	w203	株式会社ハウスパートナー新松戸店	ハウパ		千葉県	東	NG			未入力	未入力	未入力	未入力	未入力				未入力	
1843607331	30-Sep-13	B(12-14)	w204	株式会社ハウスパートナー金町店	ハウパ		東京都	東	未折衝			未入力	未入力	未入力	未入力	未入力				未入力	
1843607332	30-Sep-13	B(12-14)	f009	ソレイユお茶の水店	既存店	アエラスグループ	東京都	東	未折衝			未入力	未入力	未入力	未入力	未入力				未入力	
1843607334	30-Sep-13	B(12-14)	g1026	株式会社エイブル 　熱田店	エイブル西	東海南	愛知県	西	未折衝			未入力	未入力	未入力	未入力	未入力				未入力	
1843607335	30-Sep-13	B(12-14)	g3068	株式会社エイブル 　なかもず店	エイブル西	南大阪	大阪府	西	契約	C(14-16)	フレッツ光	2S(ﾈ光）	OCN（2年割）	【ネ】エース（4B）	ウィルス無	3C（ネ）		2013/9/30	カワイ	案内了承	特典なし
1843607336	30-Sep-13	B(12-14)	g4009	株式会社エイブル 　垂水店	エイブル西	兵庫西	兵庫県	西	アポ			未入力	未入力	未入力	未入力	未入力				未入力	
1843607337	30-Sep-13	B(12-14)	g4006	株式会社エイブル 　六甲道店	エイブル西	兵庫西	兵庫県	西	店舗戻し			未入力	未入力	未入力	未入力	未入力				未入力	
1843607338	30-Sep-13	B(12-14)	g1002	株式会社エイブル 　一宮店	エイブル西	東海北	愛知県	西	アポ			未入力	未入力	未入力	未入力	未入力				未入力	
1843607339	30-Sep-13	B(12-14)	g4017	株式会社エイブル 　仁川店	エイブル西	兵庫東	兵庫県	西	NG			未入力	未入力	未入力	未入力	未入力				未入力	
1843607340	30-Sep-13	B(12-14)	g3012	株式会社エイブル 　千里丘店	エイブル西	大阪北摂	大阪府	西	NG			未入力	未入力	未入力	未入力	未入力				未入力	
1843607341	30-Sep-13	B(12-14)	g3012	株式会社エイブル 　千里丘店	エイブル西	大阪北摂	大阪府	西	未折衝			未入力	未入力	未入力	未入力	未入力				未入力	
1843607342	30-Sep-13	C(14-16)	g1009	株式会社エイブル 　大曽根店	エイブル西	東海北	愛知県	西	アポ			未入力	未入力	未入力	未入力	未入力				未入力	
1843607343	30-Sep-13	C(14-16)	g1004	株式会社エイブル 　春日井店	エイブル西	東海北	愛知県	西	アポ			未入力	未入力	未入力	未入力	未入力				未入力	
1843607344	30-Sep-13	C(14-16)	g1004	株式会社エイブル 　春日井店	エイブル西	東海北	愛知県	西	アポ			未入力	未入力	未入力	未入力	未入力				未入力	
1843607345	30-Sep-13	C(14-16)	g1025	株式会社エイブル 　金山店	エイブル西	東海南	愛知県	西	契約	C(14-16)	フレッツ光	3M（ネ_隼）	未入力	未入力	ウィルス無	3C（ネ）		2013/9/30	カワイ	案内了承	特典なし
1843607346	30-Sep-13	C(14-16)	e2073	株式会社エイブル 　昭島店	エイブル	東京西	東京都	東	未折衝			未入力	未入力	未入力	未入力	未入力				未入力	
1843607347	30-Sep-13	C(14-16)	e2008	株式会社エイブル 　明大前西口店	エイブル	東京中央	東京都	東	未折衝			未入力	未入力	未入力	未入力	未入力				未入力	
1843607348	30-Sep-13	C(14-16)	e6015	株式会社エイブル 　戸田公園店	エイブル	埼玉	埼玉県	東	未折衝			未入力	未入力	未入力	未入力	未入力				未入力	
1843607349	30-Sep-13	C(14-16)	e4024	株式会社エイブル 　綱島店	エイブル	神奈川東	神奈川県	東	店舗戻し			未入力	未入力	未入力	未入力	未入力				未入力	
1843607350	30-Sep-13	C(14-16)	e4064	株式会社エイブル 　湘南台店	エイブル	神奈川西	神奈川県	東	未折衝			未入力	未入力	未入力	未入力	未入力				未入力	
1843607351	30-Sep-13	C(14-16)	e6028	株式会社エイブル 　朝霞店	エイブル	埼玉	埼玉県	東	店舗戻し			未入力	未入力	未入力	未入力	未入力				未入力	
1843607352	30-Sep-13	C(14-16)	e6023	株式会社エイブル 　草加西口店	エイブル	埼玉	埼玉県	東	未折衝			未入力	未入力	未入力	未入力	未入力				未入力	
1843607355	30-Sep-13	C(14-16)	g5004	株式会社エイブル 　安佐南店	エイブル西	広島	広島県	西	アポ			未入力	未入力	未入力	未入力	未入力				未入力	
1843607356	30-Sep-13	C(14-16)	e2059	株式会社エイブル 　ひばりケ丘店	エイブル	東京北	埼玉県	東	未折衝			未入力	未入力	未入力	未入力	未入力				未入力	
1843607357	30-Sep-13	C(14-16)	e6007	株式会社エイブル 　大宮西口店	エイブル	埼玉	埼玉県	東	未折衝			未入力	未入力	未入力	未入力	未入力				未入力	
1843607358	30-Sep-13	C(14-16)	e1035	株式会社エイブル 　小岩店	エイブル	東京東	東京都	東	アポ			未入力	未入力	未入力	未入力	未入力				未入力	
1843607359	30-Sep-13	C(14-16)	e1005	株式会社エイブル 　月島店	エイブル	東京南	東京都	東	アポ			未入力	未入力	未入力	未入力	未入力				未入力	
1843607362	30-Sep-13	C(14-16)	e4061	株式会社エイブル 　小田原店	エイブル	神奈川南	神奈川県	東	契約	E(18-20)	フレッツ光	2R(HF)	OCN（2年割）	未入力	3B（ネ）	3C（ネ）		2013/9/30	ハセガワ	案内了承	特典なし
1843607363	30-Sep-13	C(14-16)	e2022	株式会社エイブル 　荻窪店	エイブル	東京西	東京都	東	未折衝			未入力	未入力	未入力	未入力	未入力				未入力	
1843607364	30-Sep-13	C(14-16)	e4064	株式会社エイブル 　湘南台店	エイブル	神奈川西	神奈川県	東	NG			未入力	未入力	未入力	未入力	未入力		2013/10/1		未入力	
1843607365	30-Sep-13	C(14-16)	e2022	株式会社エイブル 　荻窪店	エイブル	東京西	東京都	東	NG			未入力	未入力	未入力	未入力	未入力				未入力	
1843607366	30-Sep-13	C(14-16)	e4027	株式会社エイブル 　港北センター南店	エイブル	神奈川東	神奈川県	東	未折衝			未入力	未入力	未入力	未入力	未入力				未入力	
1843607367	30-Sep-13	C(14-16)	e6004	株式会社エイブル 　北浦和店	エイブル	埼玉	埼玉県	東	アポ			未入力	未入力	未入力	未入力	未入力				未入力	
1843607368	30-Sep-13	C(14-16)	e6029	株式会社エイブル 　志木南口店	エイブル	埼玉	埼玉県	東	NG			未入力	未入力	未入力	未入力	未入力				未入力	
1843607369	30-Sep-13	D(16-18)	g1032	株式会社エイブル 　三河豊田店	エイブル西	東海南	愛知県	西	契約	D(16-18)	フレッツ光	3L（HF_隼）	OCN（2年割）	未入力	ウィルス無	3C（ネ）	無線	2013/9/30	アサト	案内了承	特典なし
1843607370	30-Sep-13	D(16-18)	e5003	株式会社エイブル 　白石店	エイブル	札幌	北海道	東	未折衝			未入力	未入力	未入力	未入力	未入力				未入力	
1843607371	30-Sep-13	D(16-18)	e2045	株式会社エイブル 　上石神井店	エイブル	東京西	東京都	東	アポ			未入力	未入力	未入力	未入力	未入力				未入力	
1843607372	30-Sep-13	D(16-18)	e3031	株式会社エイブル 　柏西口店	エイブル	千葉	千葉県	東	契約	B(12-14）	フレッツ光移転（東京・千葉）	未入力	未入力	未入力	未入力	未入力		2013/10/1	タカハタ	未入力	
1843607374	30-Sep-13	D(16-18)	e2063	株式会社エイブル 　立川店	エイブル	東京西	東京都	東	契約	E(18-20)	フレッツ光	81（Bﾌﾚ）	OCN（2年割）	未入力	ウィルス無	HY（Bﾌﾚ）	有線	2013/9/30	フジワラミドリ	案内了承	特典なし
1843607375	30-Sep-13	D(16-18)	g3020	株式会社エイブル 　京阪守口店	エイブル西	大阪中央	大阪府	西	アポ			未入力	未入力	未入力	未入力	未入力				未入力	
1843607376	30-Sep-13	D(16-18)	e7005	株式会社エイブル 　仙台駅前西口店	エイブル	仙台	宮城県	東	未折衝			未入力	未入力	未入力	未入力	未入力				未入力	
1843607377	30-Sep-13	D(16-18)	e2073	株式会社エイブル 　昭島店	エイブル	東京西	東京都	東	アポ			未入力	未入力	未入力	未入力	未入力				未入力	
1843607378	30-Sep-13	D(16-18)	e7005	株式会社エイブル 　仙台駅前西口店	エイブル	仙台	宮城県	東	未折衝			未入力	未入力	未入力	未入力	未入力				未入力	
1843607380	30-Sep-13	D(16-18)	f036	アエラス葛西店	既存店	アエラスグループ	東京都	東	NG			未入力	未入力	未入力	未入力	未入力				未入力	
1843607381	30-Sep-13	D(16-18)	e4043	株式会社エイブル 　吉野町店	エイブル	神奈川南	神奈川県	東	契約	D(16-18)	フレッツ光	2S(ﾈ光）	OCN（2年割）	未入力	3B（ネ）	3C（ネ）	なし	2013/9/30	ヨシダ	案内了承	特典なし
1843607383	30-Sep-13	D(16-18)	e1005	株式会社エイブル 　月島店	エイブル	東京南	東京都	東	未折衝			未入力	未入力	未入力	未入力	未入力				未入力	
1843607384	30-Sep-13	D(16-18)	w191	株式会社ハウスパートナー 松戸店	ハウパ		千葉県	東	アポ			未入力	未入力	未入力	未入力	未入力				未入力	
1843607386	30-Sep-13	D(16-18)	w206	株式会社ハウスパートナー柏西口店	ハウパ		千葉県	東	未折衝			未入力	未入力	未入力	未入力	未入力				未入力	
1843607387	30-Sep-13	E(18-20)	w205	株式会社ハウスパートナー柏東口店	ハウパ		千葉県	東	未折衝			未入力	未入力	未入力	未入力	未入力				未入力	
1843607388	30-Sep-13	D(16-18)	w203	株式会社ハウスパートナー新松戸店	ハウパ		千葉県	東	NG			未入力	未入力	未入力	未入力	未入力				未入力	
1843607391	30-Sep-13	D(16-18)	f033	アエラス武蔵小山店	既存店	アエラスグループ	東京都	東	店舗戻し			未入力	未入力	未入力	未入力	未入力				未入力	
1843607392	30-Sep-13	D(16-18)	w495	株式会社ハウスパートナー竹ノ塚店	ハウパ		東京都	東	契約	F(20-LAST)	フレッツ光	81（Bﾌﾚ）	OCN（2年割）	未入力	HS（Bﾌﾚ）	HY（Bﾌﾚ）		2013/9/30	アサト	案内了承	特典なし
1843607393	30-Sep-13	D(16-18)	w495	株式会社ハウスパートナー竹ノ塚店	ハウパ		東京都	東	アポ			未入力	未入力	未入力	未入力	未入力				未入力	
1843607394	30-Sep-13	D(16-18)	w495	株式会社ハウスパートナー竹ノ塚店	ハウパ		東京都	東	ＮＧ			未入力	未入力	未入力	未入力	未入力				未入力	
1843607395	30-Sep-13	D(16-18)	w495	株式会社ハウスパートナー竹ノ塚店	ハウパ		東京都	東	NG			未入力	未入力	未入力	未入力	未入力				未入力	
1843607396	30-Sep-13	D(16-18)	f008	ソレイユ高田馬場店	既存店	アエラスグループ	東京都	東	未折衝			未入力	未入力	未入力	未入力	未入力				未入力	
1843607397	30-Sep-13	D(16-18)	f036	アエラス葛西店	既存店	アエラスグループ	東京都	東	未折衝			未入力	未入力	未入力	未入力	未入力				未入力	
1843607400	30-Sep-13	E(18-20)	g5021	株式会社エイブル 　薬院店	エイブル西	福岡南	福岡県	西	未折衝			未入力	未入力	未入力	未入力	未入力				未入力	
1843607401	30-Sep-13	E(18-20)	g5028	株式会社エイブル 　高宮店	エイブル西	福岡南	福岡県	西	未折衝			未入力	未入力	未入力	未入力	未入力				未入力	
1843607403	30-Sep-13	F(20-LAST)	g5028	株式会社エイブル 　高宮店	エイブル西	福岡南	福岡県	西	NG			未入力	未入力	未入力	未入力	未入力				未入力	
1843607404	30-Sep-13	E(18-20)	g5028	株式会社エイブル 　高宮店	エイブル西	福岡南	福岡県	西	未折衝			未入力	未入力	未入力	未入力	未入力				未入力	
1843607405	30-Sep-13	E(18-20)	g5028	株式会社エイブル 　高宮店	エイブル西	福岡南	福岡県	西	未折衝			未入力	未入力	未入力	未入力	未入力				未入力	
1843607406	30-Sep-13	E(18-20)	g5028	株式会社エイブル 　高宮店	エイブル西	福岡南	福岡県	西	アポ			未入力	未入力	未入力	未入力	未入力				未入力	
1843607407	30-Sep-13	E(18-20)	g5028	株式会社エイブル 　高宮店	エイブル西	福岡南	福岡県	西	未折衝			未入力	未入力	未入力	未入力	未入力				未入力	
1843607408	30-Sep-13	E(18-20)	f012	ソレイユ十条店	既存店	アエラスグループ	東京都	東	未折衝			未入力	未入力	未入力	未入力	未入力				未入力	
1843607409	30-Sep-13	E(18-20)	g5028	株式会社エイブル 　高宮店	エイブル西	福岡南	福岡県	西	未折衝			未入力	未入力	未入力	未入力	未入力				未入力	
1843607411	30-Sep-13	E(18-20)	g5028	株式会社エイブル 　高宮店	エイブル西	福岡南	福岡県	西	NG			未入力	未入力	未入力	未入力	未入力				未入力	
1843607413	30-Sep-13	E(18-20)	g5013	株式会社エイブル 　三萩野店	エイブル西	北九州	福岡県	西	未折衝			未入力	未入力	未入力	未入力	未入力				未入力	
1843607414	30-Sep-13	E(18-20)	g5013	株式会社エイブル 　三萩野店	エイブル西	北九州	福岡県	西	アポ			未入力	未入力	未入力	未入力	未入力				未入力	
1843607416	30-Sep-13	E(18-20)	g5013	株式会社エイブル 　三萩野店	エイブル西	北九州	福岡県	西	未折衝			未入力	未入力	未入力	未入力	未入力				未入力	
1843607417	30-Sep-13	E(18-20)	g5013	株式会社エイブル 　三萩野店	エイブル西	北九州	福岡県	西	未折衝			未入力	未入力	未入力	未入力	未入力				未入力	
1843607418	30-Sep-13	E(18-20)	g5022	株式会社エイブル 　九大学研都市駅前店	エイブル西	福岡北	福岡県	西	未折衝			未入力	未入力	未入力	未入力	未入力				未入力	
1843607420	30-Sep-13	E(18-20)	g5030	株式会社エイブル 　井尻店	エイブル西	福岡南	福岡県	西	アポ			未入力	未入力	未入力	未入力	未入力				未入力	
1843607421	30-Sep-13	E(18-20)	w203	株式会社ハウスパートナー新松戸店	ハウパ		千葉県	東	未折衝			未入力	未入力	未入力	未入力	未入力				未入力	
1843607423	30-Sep-13	E(18-20)	g1016	株式会社エイブル 　黒川店	エイブル西	東海北	愛知県	西	店舗戻し			未入力	未入力	未入力	未入力	未入力				未入力	
1843607426	30-Sep-13	E(18-20)	w505	株式会社ハウスパートナー 八柱店	ハウパ		千葉県	東	未折衝			未入力	未入力	未入力	未入力	未入力				未入力	
1843607427	30-Sep-13	E(18-20)	g5024	株式会社エイブル 　天神西通店	エイブル西	福岡北	福岡県	西	未折衝			未入力	未入力	未入力	未入力	未入力				未入力	
1843607430	30-Sep-13	E(18-20)	e6034	株式会社エイブル 　新所沢店	エイブル	埼玉	埼玉県	東	未折衝			未入力	未入力	未入力	未入力	未入力				未入力	
1843607433	30-Sep-13	E(18-20)	e3031	株式会社エイブル 　柏西口店	エイブル	千葉	千葉県	東	未折衝			未入力	未入力	未入力	未入力	未入力				未入力	
1843607434	30-Sep-13	E(18-20)	e4034	株式会社エイブル 　青葉台店	エイブル	神奈川西	神奈川県	東	未折衝			未入力	未入力	未入力	未入力	未入力				未入力	
1843607435	30-Sep-13	E(18-20)	w205	株式会社ハウスパートナー柏東口店	ハウパ		千葉県	東	未折衝			未入力	未入力	未入力	未入力	未入力				未入力	
1843607436	30-Sep-13	E(18-20)	w203	株式会社ハウスパートナー新松戸店	ハウパ		千葉県	東	契約	B(12-14）	フレッツ光移転（その他）	未入力	未入力	未入力	未入力	未入力		2013/10/1	ヨシダ	未入力	
1843607437	30-Sep-13	E(18-20)	e1034	株式会社エイブル 　平井店	エイブル	東京東	東京都	東	未折衝			未入力	未入力	未入力	未入力	未入力				未入力	
1843607439	30-Sep-13	E(18-20)	w205	株式会社ハウスパートナー柏東口店	ハウパ		千葉県	東	アポ			未入力	未入力	未入力	未入力	未入力				未入力	
1843607440	30-Sep-13	E(18-20)	e4034	株式会社エイブル 　青葉台店	エイブル	神奈川西	神奈川県	東	アポ			未入力	未入力	未入力	未入力	未入力				未入力	
1843607441	30-Sep-13	E(18-20)	w205	株式会社ハウスパートナー柏東口店	ハウパ		千葉県	東	未折衝			未入力	未入力	未入力	未入力	未入力				未入力	
1843607442	30-Sep-13	E(18-20)	i000	株式会社エリッツホールディングス	既存店（西）		京都府	西	未折衝			未入力	未入力	未入力	未入力	未入力				未入力	
1843607443	30-Sep-13	E(18-20)	e7005	株式会社エイブル 　仙台駅前西口店	エイブル	仙台	宮城県	東	未折衝			未入力	未入力	未入力	未入力	未入力				未入力	
1843607444	30-Sep-13	E(18-20)	i000	株式会社エリッツホールディングス	既存店（西）		京都府	西	アポ			未入力	未入力	未入力	未入力	未入力				未入力	
1843607446	30-Sep-13	E(18-20)	i000	株式会社エリッツホールディングス	既存店（西）		京都府	西	新規			未入力	未入力	未入力	未入力	未入力				未入力	
1843607447	30-Sep-13	Ｅ(18-20)	i000	株式会社エリッツホールディングス	既存店（西）		京都府	西	未折衝			未入力	未入力	未入力	未入力	未入力				未入力	
1843607448	30-Sep-13	F(20-LAST)	e6034	株式会社エイブル 　新所沢店	エイブル	埼玉	埼玉県	東	アポ			未入力	未入力	未入力	未入力	未入力				未入力	
1843607449	30-Sep-13	E(18-20)	i000	株式会社エリッツホールディングス	既存店（西）		京都府	西	未折衝			未入力	未入力	未入力	未入力	未入力				未入力	
1843607450	30-Sep-13	F(20-LAST)	e7004	株式会社エイブル 　泉中央店	エイブル	仙台	宮城県	東	未折衝			未入力	未入力	未入力	未入力	未入力				未入力	
1843607451	30-Sep-13	F(20-LAST)	e2010	株式会社エイブル 　経堂店	エイブル	東京中央	東京都	東	アポ			未入力	未入力	未入力	未入力	未入力				未入力	
1843607452	30-Sep-13	F(20-LAST)	e6029	株式会社エイブル 　志木南口店	エイブル	埼玉	埼玉県	東	未折衝			未入力	未入力	未入力	未入力	未入力				未入力	
1843607454	30-Sep-13	Ｆ(20-LAST)	e1027	株式会社エイブル 　青砥店	エイブル	東京東	東京都	東	未折衝			未入力	未入力	未入力	未入力	未入力				未入力	
1843607456	30-Sep-13	F(20-LAST)	w454	ハウス・トゥ・ハウス・ネットサービス株式会社　十条店	ハウス・トゥ		東京都	東	未折衝			未入力	未入力	未入力	未入力	未入力				未入力	
1843607457	30-Sep-13	F(20-LAST)	w454	ハウス・トゥ・ハウス・ネットサービス株式会社　十条店	ハウス・トゥ		東京都	東	未折衝			未入力	未入力	未入力	未入力	未入力				未入力	
1843607458	30-Sep-13	F(20-LAST)	f028	プライム綾瀬店	既存店	アエラスグループ	東京都	東	未折衝			未入力	未入力	未入力	未入力	未入力				未入力	
1843607466	30-Sep-13	F(20-LAST)	f014	ソレイユ渋谷店	既存店	アエラスグループ	神奈川県	東	未折衝			未入力	未入力	未入力	未入力	未入力				未入力	
1843607469	30-Sep-13	F(20-LAST)	w203	株式会社ハウスパートナー新松戸店	ハウパ		千葉県	東	新規			未入力	未入力	未入力	未入力	未入力				未入力	
1843607471	30-Sep-13	F(20-LAST)	w201	株式会社ハウスパートナー綾瀬店	ハウパ		東京都	東	NG			未入力	未入力	未入力	未入力	未入力				未入力	
